DCID	Label	Drugs	Target
DC000119	N	naproxen|lansoprazole	ATP4A|PTGS1|PTGS2
DC000120	N	pioglitazone|metformin	PRKAB1|PPARG
DC000121	N	repaglinide|metformin	PPARG|PRKAB1|ABCC8
DC000122	N	simvastatin|niacin	NNMT|HMGCR|QPRT|HCAR3|HCAR2|ITGB2
DC000125	N	fingolimod|atenolol	ADRB1|S1PR5
DC000126	N	celecoxib|perifosine	PDPK1|PPARA|PTGS2
DC000127	N	fingolimod|diltiazem	CACNG1|S1PR5
DC000128	P	metformin|doxorubicin	TOP2A|PRKAB1
DC000129	N	pa-824|pyrazinamide|rifampin	NR1I2
DC000130	N	indomethacin|caffeine|prochlorperazine	ADORA1|PLA2G2A|RYR1|PTGS1|DRD2|PTGR2|GLO1|PTGDR2|PPARG|PDE4B|ADORA2A|PTGS2
DC000131	N	dexamethasone|vincristine|asparaginase|topotecan	TUBA4A|TOP1|TUBB|NOS2|TOP1MT|NR3C1|ANXA1|NR0B1
DC000132	N	paclitaxel|trastuzumab	C1QA|MAP2|MAP4|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|C1S|FCGR3B|BCL2|ERBB2|NR1I2|MAPT|EGFR|TUBB1|FCGR3A|FCGR1A
DC000133	N	cisplatin|capecitabine|trastuzumab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|TYMS|C1S|FCGR3B|ERBB2|EGFR|FCGR3A|FCGR1A
DC000134	N	raloxifene|fluorouracil|trimetrexate	ESR1|ESR2|DHFR|TYMS
DC000135	N	prednisone|bortezomib|melphalan|thalidomide	PSMB5|HSD11B1|PSMB1|CRBN|PSMB2|TNF|NFKB1|NR3C1|PSMD2|PSMD1|FGFR2|PTGS2
DC000136	N	acetaminophen|codeine	PTGS1|OPRK1|OPRD1|OPRM1|PTGS2
DC000137	N	azithromycin|mercaptopurine	HPRT1
DC000138	N	dihydrocodeine|acetaminophen|caffeine	ADORA1|PTGS1|RYR1|PDE4B|ADORA2A|PTGS2
DC000139	N	cetuximab|afatinib	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|C1S|FCGR3B|ERBB2|ERBB4|EGFR|FCGR3A|FCGR1A
DC000140	N	acetaminophen|caffeine|codeine|butalbital	CHRNA4|GABRA5|GABRA1|GABRA4|ADORA1|GRIA2|PTGS1|RYR1|GABRA6|GRIK2|OPRK1|GABRA3|PDE4B|OPRD1|CHRNA7|GABRA2|OPRM1|ADORA2A|PTGS2
DC000141	N	acetaminophen|caffeine|butalbital	CHRNA4|GABRA5|GABRA1|GABRA4|ADORA1|GRIA2|PTGS1|RYR1|GABRA6|GRIK2|GABRA3|PDE4B|CHRNA7|GABRA2|ADORA2A|PTGS2
DC000142	N	acetaminophen|propoxyphene	PTGS1|OPRK1|OPRD1|OPRM1|PTGS2
DC000143	N	clarithromycin|rifampin	NR1I2
DC000144	N	acetaminophen|pentazocine	PTGS1|SIGMAR1|OPRK1|OPRM1|PTGS2
DC000145	N	rifabutin|mercaptopurine	HPRT1|HSP90AA1|HSP90B1
DC000146	N	acetaminophen|oxycodone	PTGS1|OPRK1|OPRD1|OPRM1|PTGS2
DC000147	N	rifampin|mercaptopurine	NR1I2|HPRT1
DC000148	N	acetaminophen|dihydrocodeine	PTGS1|PTGS2
DC000149	N	clarithromycin|mercaptopurine	HPRT1
DC000150	N	naphazoline hydrochloride|pheniramine	ADRA2A|HRH1|ADRA1A
DC000151	N	glyburide|metformin	KCNJ11|ABCC8|ABCA1|KCNJ5|KCNJ1|ABCB11|CFTR|ABCC9|PRKAB1
DC000152	N	dihydrocodeine|caffeine|aspirin	AKR1C1|ADORA1|PTGS1|RYR1|PDE4B|ADORA2A|PTGS2
DC000153	N	glipizide|metformin	PPARG|PRKAB1|ABCC8
DC000154	N	acetaminophen|tramadol	HTR2C|GRIN3A|PTGS1|CHRFAM7A|SLC6A4|CHRM3|OPRK1|OPRD1|SLC6A2|OPRM1|PTGS2
DC000155	N	glimepiride|rosiglitazone	KCNJ11|ABCC8|ACSL4|KCNJ1|PPARG
DC000156	N	pioglitazone|glimepiride	ABCC8|KCNJ11|KCNJ1|PPARG
DC000157	N	sitagliptin|metformin	DPP4|PRKAB1
DC000158	N	metformin|rosiglitazone	ACSL4|PRKAB1|PPARG
DC000159	N	carbidopa|levodopa	DRD1|DRD2|DRD4|DRD3|DRD5|DDC
DC000160	N	quinidine|diclofenac	KCNQ2|PTGS1|KCNK1|PLA2G2A|KCNK6|ASIC1|SCN4A|KCNH2|ALOX5|KCNQ3|SCN5A|PTGS2
DC000161	N	entacapone|carbidopa|levodopa	DRD1|DDC|DRD2|DRD3|DRD5|DRD4|COMT
DC000162	N	quinidine|warfarin	KCNK1|KCNK6|KCNH2|SCN5A|VKORC1
DC000163	N	ibuprofen|pseudoephedrine|chlorpheniramine	SLC6A3|ADRB2|THBD|ADRB1|ADRA2A|PTGS1|PLAT|SLC6A4|ADRA1A|FABP2|PPARG|BCL2|SLC6A2|CFTR|HRH1|PTGS2
DC000164	N	cetirizine|pseudoephedrine	SLC6A3|ADRB2|ADRB1|ADRA2A|SLC6A4|ADRA1A|SLC6A2|HRH1
DC000165	N	rifampin|mycophenolate mofetil	IMPDH2|NR1I2|IMPDH1
DC000167	N	cisplatin|tirapazamine|adenoviral delivery of human p450r genes	CSF1R
DC000168	N	buprenorphine|naloxone	TLR4|ESR1|OPRK1|OPRD1|CREB1|OPRM1
DC000169	N	procainamide|cisplatin	DNMT1|SCN5A
DC000170	N	luteolin|gamma hydroxybutyric acid	GABRB1
DC000171	N	naproxen|aciclovir	PTGS1|PTGS2
DC000173	N	ketoprofen|aciclovir	CXCR1|PTGS1|PTGS2
DC000174	N	imatinib|arsenic sulfide	PTGER1|ABL1|PDGFRA|RET|DDR1|CSF1R|PDGFRB|KIT|PTGFR|NTRK1
DC000175	N	ciprofloxacin|probenecid	TOP2A|SLC22A11|SLC22A6|SLC22A8|PANX1
DC000176	N	imatinib|temozolomide	ABL1|RET|PDGFRA|DDR1|CSF1R|PDGFRB|KIT|NTRK1
DC000177	N	famotidine|probenecid	SLC22A11|SLC22A6|SLC22A8|HRH2|PANX1
DC000178	N	decitabine|paclitaxel	MAP4|MAP2|BCL2|DNMT1|NR1I2|MAPT|TUBB1
DC000179	N	probenecid|gemifloxacin	SLC22A11|PANX1|SLC22A6|SLC22A8
DC000182	N	omeprazole|methotrexate	ATP4A|DHFR
DC000183	N	naproxen|pseudoephedrine	SLC6A3|ADRB2|PTGS1|ADRA2A|ADRB1|SLC6A4|ADRA1A|SLC6A2|PTGS2
DC000184	N	cisplatin|bortezomib	PSMB5|PSMB1|PSMB2|PSMD2|PSMD1
DC000185	N	lomefloxacin|furosemide	CA2|SLC12A1|TOP2A
DC000186	N	triamcinolone|nystatin	NR3C1
DC000187	N	imatinib|capecitabine	ABL1|RET|PDGFRA|TYMS|DDR1|CSF1R|PDGFRB|KIT|NTRK1
DC000188	N	lomefloxacin|ranitidine	HRH2|TOP2A
DC000189	N	prednisolone|neomycin|polymyxin b sulfate	NR3C1
DC000190	N	carboplatin|bortezomib|gemcitabine	PSMB5|PSMB1|TYMS|PSMB2|RRM1|PSMD2|PSMD1|CMPK1
DC000191	N	sodium bicarbonate|omeprazole	ATP4A
DC000193	N	pioglitazone|alogliptin	DPP4|PPARG
DC000194	N	phenylephrine|promethazine	CALM1|HRH1|DRD2|CHRM3|ADRA1B|ADRA1A|CHRM5|HTR2A|CHRM1|ADRA1D|CHRM4|CHRM2
DC000002	N	prednisolone|gentamicin	NR3C1|LRP2
DC000003	N	fluocinolone acetonide|hydroquinone|tretinoin	RARG|RARRES1|RXRB|ALDH1A1|RXRG|ALDH1A2|SLC6A1|GPRC5A|NR3C1|NR0B1|ABAT
DC000004	N	fluocinolone acetonide|tobramycin	NR3C1
DC000005	N	fluoxetine|olanzapine	ADRA2A|SLC6A4|CHRM3|CHRM1|HTR6|CHRM4|CHRM2|HTR2C|HTR1A|DRD2|DRD3|CHRM5|HTR2A|HTR3A|DRD5|HTR1B|HRH1|DRD4|ADRA2B|ADRA1A|HTR7|ADRA2C|DRD1|ADRA1B|HTR1E|HTR1D
DC000006	N	salmeterol|fluticasone propionate	ADRB2|NR3C2|PLA2G4A|PGR|NR3C1
DC000007	N	ethinyl estradiol|etonogestrel	ESR1|NR1I2|PGR
DC000008	N	drospirenone|ethinyl estradiol	NR3C2|AR|ESR1|PGR|NR1I2
DC000009	N	drospirenone|estradiol	NR3C2|ESR2|AR|ESR1|PGR|NR1I2
DC000010	N	simvastatin|ezetimibe	NPC1L1|HMGCR|ANPEP|SOAT1|ITGB2
DC000011	N	ethynodiol diacetate|ethinyl estradiol	ESR1|NR1I2|PGR
DC000012	N	mestranol|norethindrone	ESR1|PGR
DC000013	N	norgestimate|estradiol	NR1I2|ESR2|PGR|ESR1
DC000015	N	estradiol|levonorgestrel	ESR2|AR|ESR1|PGR|NR1I2|SRD5A1
DC000016	N	lidocaine|epinephrine	ADRA2B|ADRB2|SCN9A|PAH|ADRB1|ADRA2A|ADRA1A|ADRA1B|ADRA1D|SCN5A|SCN10A|EGFR
DC000017	N	prilocaine|epinephrine	ADRA2B|ADRB2|PAH|ADRB1|ADRA2A|ADRA1A|ADRA1B|ADRA1D|SCN5A
DC000018	N	bupivacaine|epinephrine	ADRA2B|ADRB2|PTGER1|PAH|ADRB1|ADRA2A|ADRA1A|ADRA1B|ADRA1D|SCN10A
DC001908	N	pioglitazone|metformin|saxagliptin	DPP4|PRKAB1|PPARG
DC001910	N	emtricitabine|didanosine|atazanavir	PNP
DC001928	N	alogliptin|insulin	IGF1R|DPP4|RB1|PCSK2|IGFBP7|SYTL4|INSR|CPE|LRP2|PCSK1|NOV|IDE|CTSD
DC001932	N	irbesartan|felodipine	PDE1B|CALM1|TNNC2|CACNA1H|CACNA1D|NR3C2|CACNA1C|CACNA1S|CACNA2D1|PDE1A|CACNB2|CACNA2D2|AGTR1|TNNC1|JUN
DC001949	N	docetaxel|pegfilgrastim|epirubicin	MAP4|MAP2|ELANE|TOP2A|CHD1|BCL2|MAPT|TUBB1|CSF3R
DC001950	P	iniparib|carboplatin|gemcitabine	PARP1|RRM1|CMPK1|TYMS
DC001969	N	canagliflozin|metformin	SLC5A1|SLC5A2|PRKAB1
DC001974	N	clomipramine|fluoxetine	HTR2C|GSTP1|SLC6A4|HTR2B|HTR2A|SLC6A2
DC001975	N	docetaxel|gefitinib	MAP4|MAP2|BCL2|MAPT|EGFR|TUBB1
DC001982	N	propranolol|losartan|atenolol	HTR1A|ADRB2|ADRB3|ADRB1|HTR1B|AGTR1
DC001986	N	fluoxetine|quetiapine	ADRA2A|SLC6A4|CHRM3|CHRM1|HTR6|CHRM4|CHRM2|HTR2C|HTR1A|DRD2|DRD3|CHRM5|HTR2A|HTR3A|DRD5|HTR1B|HRH1|DRD4|ADRA2B|ADRA1A|HTR7|ADRA2C|DRD1|ADRA1B|HTR1E|ADRA1D|HTR1D
DC001998	N	mifepristone|oxytocin	OXT|OXTR|PGR|NR3C1
DC002016	N	dexamethasone|thalidomide|bortezomib|cyclophosphamide	PSMB5|PSMB1|PSMD1|CRBN|PSMB2|NOS2|TNF|PSMD2|NFKB1|NR3C1|ANXA1|NR0B1|FGFR2|PTGS2
DC002017	N	lovaza|atorvastatin	DPP4|AHR|HMGCR
DC002034	N	bendamustine|dexamethasone|lenalidomide|aspirin	AKR1C1|PTGS1|TNFSF11|NOS2|VEGFA|CDH5|NR3C1|ANXA1|NR0B1|CRBN|PTGS2
DC002038	N	docetaxel|enzastaurin|prednisone	MAP4|MAP2|PRKCB|BCL2|NR3C1|MAPT|TUBB1|HSD11B1
DC002043	N	repaglinide|insulin aspart	INSR|ABCC8|PPARG
DC002044	P	docetaxel|cyclophosphamide|doxorubicin|trastuzumab	C1QA|MAP4|MAP2|FCGR2A|C1R|FCGR2C|FCGR2B|TOP2A|C1QC|C1QB|C1S|FCGR3B|BCL2|ERBB2|MAPT|EGFR|TUBB1|FCGR3A|FCGR1A
DC002049	N	metformin|liraglutide	GLP1R|PRKAB1
DC002069	N	glatiramer acetate|interferon beta 1	IFNAR1|HLA-DRB1|IFNAR2
DC002070	N	o6-benzylguanine|carmustine	GSR|MGMT
DC002073	N	valproic acid|lithium	GSK3B|GRIA3|IMPA2|HDAC9|ACADSB|ALDH5A1|IMPA1|OGDH|ABAT
DC002079	N	fluorouracil|leucovorin|oxaliplatin	TYMS
DC002081	N	lenalidomide|rituximab	C1QA|FCGR1A|MS4A1|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|TNFSF11|C1S|FCGR3B|VEGFA|CDH5|CRBN|FCGR3A|PTGS2
DC002088	N	bevacizumab|cetuximab|erlotinib	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|C1S|FCGR3B|VEGFA|NR1I2|EGFR|FCGR3A|FCGR1A
DC002091	N	hydroxychloroquine|methotrexate|leflunomide|sulfasalazine	PTGS2|IKBKB|PTK2B|PTGS1|SLC7A11|CHUK|TLR9|AHR|TLR7|DHFR|ACAT1|ALOX5|DHODH|PPARG
DC001261	N	decitabine|bortezomib	PSMB5|PSMB1|PSMB2|DNMT1|PSMD2|PSMD1
DC001268	N	tadalafil|sildenafil	PDE11A|PDE6G|PDE6H|PDE5A
DC001275	N	hydrochlorothiazide|valsartan|aliskiren	KCNMA1|CA4|CA1|CA2|REN|SLC12A3|CA12|AGTR1|CA9
DC001309	N	indacaterol maleate|tiotropium	ADRB2|CHRM1|CHRM2|CHRM3
DC001326	N	brimonidine|latanoprost	ADRA2B|ADRA2C|ADRA2A|PTGFR
DC001328	N	fluorouracil|sorafenib	BRAF|FGFR1|RAF1|FLT3|FLT4|RET|TYMS|KDR|PDGFRB|FLT1|KIT
DC001330	N	docetaxel|linifanib	MAP4|MAP2|FLT3|KDR|BCL2|CSF1R|PDGFRB|MAPT|TUBB1|FLT1
DC001340	N	axitinib|gemcitabine	FLT4|TYMS|KDR|RRM1|FLT1|CMPK1
DC001351	N	ziprasidone|risperidoene|quetiapine	ADRA2A|CHRM3|CHRM1|HTR6|CHRM4|CHRM2|HTR2C|HTR1A|DRD2|DRD3|CHRM5|HTR2A|HTR3A|DRD5|HTR1B|HRH1|DRD4|ADRA2B|ADRA1A|HTR7|ADRA2C|DRD1|ADRA1B|HTR1E|ADRA1D|HTR1D
DC001357	P	dexamethasone|aprepitant|palonosetron	ANXA1|TACR1|NOS2|NR3C1|HTR3A|NR0B1
DC001365	N	docetaxel|casopitant	MAP4|MAP2|TACR1|BCL2|MAPT|TUBB1
DC001367	N	bortezomib|doxorubicin	PSMB5|TOP2A|PSMB1|PSMB2|PSMD2|PSMD1
DC001372	N	lapatinib|bevacizumab	C1QA|FCGR2B|FCGR2A|FCGR2C|C1R|C1QC|C1QB|FCGR3B|VEGFA|ERBB2|EGFR|FCGR3A|FCGR1A
DC001403	N	ticagrelor|aspirin	AKR1C1|PTGS1|P2RY12|PTGS2
DC001408	N	fimasartan|atorvastatin	DPP4|AGTR2|AHR|HMGCR
DC001413	N	paclitaxel|afatinib	MAP4|MAP2|BCL2|ERBB2|NR1I2|MAPT|ERBB4|EGFR|TUBB1
DC001440	N	dimethyl fumarate|aspirin	PTGS2|AKR1C1|PTGS1|KEAP1
DC001444	N	medroxyprogeterone acetate|somatropin|ethinyl estradiol	PRLR|GHR|ESR1|PGR|NR1I2
DC001461	N	golimumab|methotrexate	TNF|DHFR
DC001463	P	lapatinib|capecitabine	ERBB2|EGFR|TYMS
DC001473	N	fluorouracil|irinotecan|leucovorin|oxaliplatin|bevacizumab	C1QA|FCGR2B|FCGR2A|FCGR2C|C1R|TOP1|C1QC|C1QB|TYMS|FCGR3B|VEGFA|TOP1MT|FCGR3A|FCGR1A
DC001481	N	prednisone|lenalidomide|melphalan	PTGS2|TNFSF11|VEGFA|CDH5|NR3C1|CRBN|HSD11B1
DC001506	N	capecitabine|bevacizumab|cetuximab|oxaliplatin	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|TYMS|C1S|FCGR3B|VEGFA|EGFR|FCGR3A|FCGR1A
DC001507	P	capecitabine|gemcitabine|sorafenib	BRAF|FGFR1|RAF1|FLT3|FLT4|RET|TYMS|KDR|RRM1|PDGFRB|FLT1|CMPK1|KIT
DC001518	N	lamivudine|maraviroc|zidovudine	TERT|CCR5
DC001523	N	trebananib|paclitaxel	MAP4|MAP2|ANGPT1|BCL2|ANGPT2|NR1I2|MAPT|TUBB1
DC001530	N	ibuprofen|acetaminophen|diclofenac	PTGS2|KCNQ2|THBD|PTGS1|PLA2G2A|PLAT|FABP2|BCL2|ASIC1|SCN4A|CFTR|ALOX5|KCNQ3|PPARG
DC001536	P	capecitabine|cyclophosphamide	TYMS
DC001547	N	rituximab|ibritumomab tiuxetan	C1QA|MS4A1|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|C1S|FCGR3B|FCGR3A|FCGR1A
DC001551	N	docetaxel|doxorubicin|cyclophosphamide	MAP4|MAP2|TOP2A|BCL2|MAPT|TUBB1
DC001562	N	midazolam|propofol	GABRA5|GABRR1|GABRG3|GABRB1|GABRP|GABRG1|GABRR3|GABRA4|GABRA6|GABRQ|SCN4A|SCN2A|GABRR2|GABRB3|GABRG2|GABRE|GABRA3|GABRD|GABRA1|GABRB2|GABRA2
DC001567	N	acetaminophen|pseudoephedrine|amoxicillin|dextromethorphan|guaifenesin	SLC6A3|ADRB2|GRIN3A|PTGS1|SIGMAR1|ADRB1|ADRA2A|SLC6A4|ADRA1A|SLC6A2|CHRNA2|PTGS2
DC001571	N	lisinopril|losartan|atorvastatin	DPP4|HMGCR|ACE2|ACE|AHR|AGTR1
DC001572	N	mycophenolate acid|everolimus	IMPDH2|MTOR|IMPDH1
DC001575	N	irinotecan|fluorouracil|leucovorin	TOP1MT|TYMS|TOP1
DC001577	N	ixabepilone|capecitabine	TUBB3|TYMS
DC001584	P	letrozole|everolimus	CYP19A1|MTOR
DC001606	N	cytarabine|sch 900776	CHEK1|POLB
DC001608	N	glimepiride|metformin	ABCC8|KCNJ11|KCNJ1|PRKAB1
DC001647	N	artesunate|mefloquine	ADORA2A|HBA1
DC001689	N	budesonide|lansoprazole	ATP4A|NR3C1
DC001695	N	midazolam|brentuximab vedotin	GABRB3|GABRD|GABRA5|GABRA1|GABRG3|GABRR1|GABRB1|GABRG2|GABRA6|GABRQ|GABRP|GABRG1|GABRR3|GABRA4|GABRB2|GABRA2|GABRE|GABRR2|GABRA3
DC001710	N	lapatinib|pazopanib hydrochloride	SH2B3|ERBB2|FLT4|FGF1|PDGFRA|KDR|ITK|PDGFRB|KIT|FLT1|EGFR|FGFR3
DC001728	N	gemcitabine|oxaliplatin	TYMS|CMPK1|RRM1
DC001735	N	clopidogrel|omeprazole|aspirin	ATP4A|AKR1C1|PTGS1|P2RY12|PTGS2
DC001740	N	oxymorphone|hydromorphone	OPRK1|OPRM1|OPRD1
DC001750	N	dexamethasone|pomalidomide	NOS2|TNF|NR3C1|ANXA1|NR0B1|CRBN|PTGS2
DC001777	N	emtricitabine|tenofovir|zidovudine	TERT
DC001784	N	olanzapine|amantadine|metformin|zonisamide	CA10|CA5B|SCN2B|ADRA2A|CHRM3|CA1|HTR6|CHRM1|CA13|CHRM4|CHRM2|PRKAB1|HTR2C|HTR1A|CACNA1H|SCN1A|CA6|CACNA1G|CA4|DRD2|DRD3|CHRM5|HTR2A|SCN4A|SCN3A|SCN5A|DRD5|HTR3A|HTR1B|HRH1|DRD4|SCN2A|ADRA2B|CA11|SCN3B|ADRA1A|CA2|HTR7|SCN1B|MAOB|SCN4B|SCN9A|CA5A|ADRA2C|DRD1|CA14|ADRA1B|CA8|HTR1E|CA3|CA7|MAOA|SCN11A|CA12|CACNA1I|GRIN3A|HTR1D|CA9
DC001786	N	panobinostat|dexamethasone|bortezomib	PSMB5|PSMB1|PSMD1|PSMB2|NOS2|PSMD2|NR3C1|ANXA1|NR0B1|HDAC1
DC001802	N	fludrocortisone|drotrecogin alfa|hydrocortisone	F8|NR3C2|SERPINA5|THBD|CP|AR|PROS1|SERPINE1|PROCR|SERPINB6|F2|PF4|NR3C1|ANXA1|GGCX|F5
DC001808	P	docetaxel|fluorouracil|epirubicin|cyclophosphamide|trastuzumab	C1QA|FCGR3B|ERBB2|MAP4|C1S|EGFR|FCGR3A|FCGR1A|FCGR2A|TYMS|TUBB1|MAP2|FCGR2B|C1R|FCGR2C|TOP2A|C1QC|C1QB|CHD1|BCL2|MAPT
DC001814	N	sorafenib|peginterferon alfa-2b	BRAF|FGFR1|RAF1|FLT3|FLT4|RET|KDR|IFNAR1|PDGFRB|KIT|FLT1|IFNAR2
DC001830	N	panitumumab|gemcitabine|irinotecan	TOP1|TYMS|TOP1MT|RRM1|EGFR|CMPK1
DC001841	N	capecitabine|cisplatin|bevacizumab|fluorouracil	C1QA|FCGR2B|FCGR2A|FCGR2C|C1R|C1QC|C1QB|TYMS|FCGR3B|VEGFA|FCGR3A|FCGR1A
DC001856	N	anastrozole|gefitinib	CYP19A1|EGFR
DC001863	N	heparin|warfarin	F10|VKORC1|SERPINC1|SELP
DC001885	N	lapatinib|bevacizumab|trastuzumab	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|C1S|FCGR3B|VEGFA|ERBB2|EGFR|FCGR3A|FCGR1A
DC001893	N	lopinavir|lamivudine|ritonavir|zidovudine	TERT
DC001901	N	imatinib|peginterferon alfa-2b	ABL1|RET|PDGFRA|DDR1|NTRK1|IFNAR1|CSF1R|PDGFRB|KIT|IFNAR2
DC001904	N	ivermectin|mebendazole	GABRB3|TUBA1A|GLRA3|TUBB4B
DC002507	N	clopidogrel|aspirin	AKR1C1|PTGS1|P2RY12|PTGS2
DC002516	N	metoprolol|felodipine	PDE1B|ADRB2|CALM1|CACNA1H|TNNC2|CACNA1D|NR3C2|CACNA1C|ADRB1|CACNA1S|CACNA2D1|PDE1A|CACNB2|CACNA2D2|TNNC1
DC002520	P	docetaxel|doxorubicin	MAP4|MAP2|TOP2A|BCL2|MAPT|TUBB1
DC002521	N	rapamycin|basiliximab	C1QA|FCGR2A|FCGR2C|C1R|FCGR2B|FGF2|FKBP1A|C1QC|MTOR|IL2RB|C1QB|C1S|FCGR3B|IL2RA|FCGR3A|FCGR1A
DC002527	N	lidocaine|nitroglycerin	EGFR|SCN9A|SCN5A|SCN10A|NPR1
DC002555	N	iniparib|carboplatin|paclitaxel	MAP4|MAP2|PARP1|BCL2|NR1I2|MAPT|TUBB1
DC002605	N	enbrel|methotrexate	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|LTA|C1S|FCGR3B|TNF|DHFR|TNFRSF1B|FCGR3A|FCGR1A
DC002608	N	cytarabine|filgrastim|zosuquidar trihydrochloride|daunorubicin|sargramostim	ELANE|TOP2A|PRG2|ABCB1|SDC2|TOP2B|POLB|IL3RA|CSF2RB|CSF2RA|CSF3R
DC002614	N	rapamycin|prednisone|mycophenolate mofetil	HSD11B1|IMPDH2|FKBP1A|MTOR|IMPDH1|NR3C1|FGF2
DC002618	N	sertraline|cholecalciferol	SLC6A3|VDR|SLC6A4
DC002634	N	carboplatin|paclitaxel|sepantronium bromide	MAP4|MAP2|ILF3|BCL2|NR1I2|MAPT|TUBB1
DC002652	N	levetiracetam|lorazepam|brivaracetam	GABRA5|GABRR1|GABRG3|GABRB1|CACNA1B|GABRP|GABRG1|GABRR3|GABRA4|SV2A|GABRA6|GABRQ|GABRR2|GABRB3|GABRG2|GABRE|GABRA3|GABRD|GABRA1|TSPO|GABRB2|GABRA2
DC002656	N	pyrimethamine|azithromycin|sulfadoxine	DHFR
DC002672	P	docetaxel|bevacizumab|epirubicin|cyclophosphamide	C1QA|MAP4|MAP2|FCGR2A|FCGR2C|C1R|FCGR2B|TOP2A|C1QC|C1QB|CHD1|FCGR3B|VEGFA|BCL2|MAPT|TUBB1|FCGR3A|FCGR1A
DC002827	N	creatine|betaine|levomefolic acid|vitamin b12cn	CKB|MTHFR|CKM|MUT|GAMT|CKMT2|MTRR|MMACHC|MMAA|CKMT1A|MTR|SLC6A8
DC002836	N	norethindrone|ethinyl estradiol	NR1I2|PGR|ESR1
DC002845	N	mitoxantrone|prednisone	NR3C1|TOP2A|HSD11B1
DC002846	N	fluorouracil|doxorubicin|cyclophosphamide	TOP2A|TYMS
DC002847	N	temsirolimus|diphenhydramine	MTOR|HRH1
DC002867	N	rifampin|azithromycin	NR1I2
DC002876	N	ranibizumab|verteporfin	VEGFA
DC002878	N	elesclomol|paclitaxel	MAP4|MAP2|BCL2|NR1I2|MAPT|TUBB1
DC002885	N	valproic acid|doxorubicin	TOP2A|HDAC9|ACADSB|ALDH5A1|OGDH|ABAT
DC002890	N	rifampin|doxycycline	NR1I2
DC002891	N	metformin|insulin aspart	INSR|PRKAB1
DC002949	N	ipilimumab|dacarbazine	PGD|CTLA4|POLA2
DC002951	N	sertraline|naltrexone	SLC6A3|SIGMAR1|SLC6A4|OPRK1|OPRD1|OPRM1
DC002953	N	sulfalene|pyrimethamine|artesunate	DHFR
DC002973	N	cobicistat|emtricitabine|tenofovir|atazanavir	CYP3A4
DC002977	N	docetaxel|carboplatin|cyclophosphamide|trastuzumab|doxorubicin	C1QA|MAP4|MAP2|FCGR2A|C1R|FCGR2C|FCGR2B|TOP2A|C1QC|C1QB|C1S|FCGR3B|BCL2|ERBB2|MAPT|EGFR|TUBB1|FCGR3A|FCGR1A
DC002983	N	cisplatin|interferon alfa-2b|fluorouracil	IFNAR1|TYMS|IFNAR2
DC002985	N	anti-thymocyte globulin|rapamycin|tacrolimus	MR1|ITGAV|FCGR2B|CD86|FKBP1A|MTOR|ITGAL|ITGB3|CD1A|ITGB1|CD4|FGF2
DC003000	N	cytarabine|lintuzumab	POLB|CD33
DC003011	P	paclitaxel|gemcitabine|doxorubicin|cyclophosphamide	MAP4|MAP2|TOP2A|TYMS|BCL2|RRM1|NR1I2|MAPT|CMPK1|TUBB1
DC003031	N	prasugrel|clopidogrel	P2RY12
DC002684	N	prasugrel|clopidogrel|aspirin	AKR1C1|PTGS1|P2RY12|PTGS2
DC002686	N	ethacrynic acid|rosiglitazone	ATP1A1|ACSL4|SLC12A1|PPARG
DC002689	P	docetaxel|paclitaxel|trastuzumab	C1QA|MAP2|MAP4|FCGR2A|C1R|FCGR2C|FCGR2B|C1QC|C1QB|C1S|FCGR3B|BCL2|ERBB2|NR1I2|MAPT|EGFR|TUBB1|FCGR3A|FCGR1A
DC002701	N	docetaxel|erlotinib	MAP4|MAP2|BCL2|NR1I2|MAPT|EGFR|TUBB1
DC002713	N	adalimumab|betamethasone|calcipotriol	C1QA|FCGR2B|FCGR2A|C1R|FCGR2C|C1QC|C1QB|C1S|FCGR3B|TNF|VDR|NR3C1|FCGR3A|FCGR1A
DC002716	N	lomustine|cediranib	FLT4|FLT1|STMN4|KDR
DC002741	N	indomethacin|rilonacept	PTGS2|IL1RN|PLA2G2A|PTGS1|PTGR2|GLO1|PTGDR2|IL1A|IL1B|PPARG
DC002745	N	carboplatin|gemcitabine	TYMS|CMPK1|RRM1
DC002749	N	prazosin|oxymetazoline|fluticasone propionate	NR3C2|KCNH6|KCNH7|PLA2G4A|ADRA2A|ADRA1A|ADRA1B|PGR|ADRA1D|KCNH2|NR3C1
